worms_sciname,worms_aphiaid,rank,phylum,class,subclass,order,family,genus,year,countryCode,stateProvince,county,locality,decimalLatitude,decimalLongitude,depth,taxonRemarks,verbatim_obis,terrestrial_only
Malmgreniella,129499,genus,Annelida,Polychaeta,Errantia,Phyllodocida,Polynoidae,Malmgreniella,2003,NA,NA,NA,NA,33.5670013428,-118.191001892,111,NA,Malmgreniella sp a,0
Macoma,138531,genus,Mollusca,Bivalvia,Autobranchia,Cardiida,Tellinidae,Macoma,2002,NA,NA,NA,NA,43.3250007629,-124.314002991,NA,NA,Macoma sp.,0
Macoma inquinata,582759,species,Mollusca,Bivalvia,Autobranchia,Cardiida,Tellinidae,Macoma,1999,NA,NA,NA,NA,45.3860015869,-123.956001282,1,NA,Macoma inquinata,0
Exogone (Exogone) lourei,238226,species,Annelida,Polychaeta,Errantia,Phyllodocida,Syllidae,Exogone,NA,NA,NA,NA,Puget Sound,47.60421,-122.3441,37.6,Originally identified as 'Exogone lourei',Exogone (Exogone) lourei,0
Mediomastus,129218,genus,Annelida,Polychaeta,Sedentaria,NA,Capitellidae,Mediomastus,2003,NA,NA,NA,NA,47.1479988098,-124.289001465,28,NA,Mediomastus sp,0
Mulinia pallida,505738,species,Mollusca,Bivalvia,Autobranchia,Venerida,Mactridae,Mulinia,2005,NA,NA,NA,Caladero Pizarro 2,4.91311645508,-77.3940353394,NA,NA,Mulinia pallida,0
Pholoe glabra,330542,species,Annelida,Polychaeta,Errantia,Phyllodocida,Sigalionidae,Pholoe,2003,NA,NA,NA,NA,37.5989990234,-122.822998047,68,NA,Pholoe glabra,0
Resania,492535,genus,Mollusca,Bivalvia,Autobranchia,Venerida,Mactridae,Resania,NA,US,NA,NA,Scorpion Anchorage,34.048515,-119.552299,5.6,NA,Laminaria,0
Sthenelanella uniformis,332194,species,Annelida,Polychaeta,Errantia,Phyllodocida,Sigalionidae,Sthenelanella,2003,NA,NA,NA,NA,33.9659996033,-119.605003357,82,NA,Sthenelanella uniformis,0
Phyllodoce groenlandica,334506,species,Annelida,Polychaeta,Errantia,Phyllodocida,Phyllodocidae,Phyllodoce,1985,NA,NA,NA,Area A-The Two Peaks,54.3199996948,-131.330001831,135,NA,Anaitides groenlandica,0
Tresus,367775,genus,Mollusca,Bivalvia,Autobranchia,Venerida,Mactridae,Tresus,1960,NA,NA,NA,NA,53.6800003052,-131.410003662,16.45,NA,Tresus,0
Resania,492535,genus,Mollusca,Bivalvia,Autobranchia,Venerida,Mactridae,Resania,NA,US,NA,NA,Coral St Lucus Pt,36.637768,-121.92321799999999,9.1,NA,Laminaria,0
Heteromastus,129214,genus,Annelida,Polychaeta,Sedentaria,NA,Capitellidae,Heteromastus,NA,NA,NA,NA,San Francisco Bay,37.88483,-122.4216,13.4,Originally identified as 'Heteromastus (LPIL)',Heteromastus,0
Leitoscoloplos pugettensis,254746,species,Annelida,Polychaeta,Sedentaria,NA,Orbiniidae,Leitoscoloplos,NA,NA,NA,NA,Puget Sound,47.2699,-122.6011,26,Originally identified as 'Leitoscoloplos pugettensis',Leitoscoloplos pugettensis,0
Resania,492535,genus,Mollusca,Bivalvia,Autobranchia,Venerida,Mactridae,Resania,NA,US,NA,NA,Spooners Cove,35.277134000000004,-120.892899,12.8,NA,Laminaria,0
Resania,492535,genus,Mollusca,Bivalvia,Autobranchia,Venerida,Mactridae,Resania,NA,US,NA,NA,La Jolla Cove,32.852165,-117.26986699999999,12.8,NA,Laminaria,0
Mediomastus,129218,genus,Annelida,Polychaeta,Sedentaria,NA,Capitellidae,Mediomastus,NA,NA,NA,NA,San Francisco Bay,37.81033,-122.4333,11,Originally identified as 'Mediomastus (LPIL)',Mediomastus,0
Euchone incolor,155202,species,Annelida,Polychaeta,Sedentaria,Sabellida,Sabellidae,Euchone,1999,NA,NA,NA,NA,48.0579986572,-122.904998779,21,NA,Euchone incolor,0
Glycera nana,328132,species,Annelida,Polychaeta,Errantia,Phyllodocida,Glyceridae,Glycera,2003,NA,NA,NA,NA,34.0439987183,-119.055999756,202,NA,Glycera nana,0
Mediomastus,129218,genus,Annelida,Polychaeta,Sedentaria,NA,Capitellidae,Mediomastus,2003,NA,NA,NA,NA,33.9589996338,-118.519996643,44,NA,Mediomastus sp,0
Euchone limnicola,332800,species,Annelida,Polychaeta,Sedentaria,Sabellida,Sabellidae,Euchone,NA,NA,NA,NA,San Francisco Bay,37.54557,-122.1966,0.6,Originally identified as 'Euchone limnicola',Euchone limnicola,0
Resania,492535,genus,Mollusca,Bivalvia,Autobranchia,Venerida,Mactridae,Resania,NA,US,NA,NA,La Jolla Cove,32.852165,-117.26986699999999,9.8,NA,Laminaria,0
Capitella capitata tripartita,335400,subspecies,Annelida,Polychaeta,Sedentaria,NA,Capitellidae,Capitella,NA,NA,NA,NA,Puget Sound,47.2757,-122.386,9.7,Originally identified as 'Capitella tripartita',Capitella capitata tripartita,0
Nereis procera,329725,species,Annelida,Polychaeta,Errantia,Phyllodocida,Nereididae,Nereis,2003,NA,NA,NA,NA,33.9570007324,-118.59300231900001,154,NA,Nereis procera,0
Mediomastus californiensis,157483,species,Annelida,Polychaeta,Sedentaria,NA,Capitellidae,Mediomastus,NA,NA,NA,NA,San Francisco Bay,37.77318,-122.3948,3.7,Originally identified as 'Mediomastus californiensis',Mediomastus californiensis,0
Phyllodoce longipes,130673,species,Annelida,Polychaeta,Errantia,Phyllodocida,Phyllodocidae,Phyllodoce,2003,NA,NA,NA,NA,33.9949989319,-120.336997986,72,NA,Phyllodoce longipes,0
Sigalion spinosus,334789,species,Annelida,Polychaeta,Errantia,Phyllodocida,Sigalionidae,Sigalion,NA,NA,NA,NA,Monterey Bay NMS,37.91385,-123.4231,136,Originally identified as 'Sigalion spinosus',Sigalion spinosus,0
Resania,492535,genus,Mollusca,Bivalvia,Autobranchia,Venerida,Mactridae,Resania,NA,US,NA,NA,Point Buchon,35.237446000000006,-120.900002,13.9,NA,Laminaria,0
Saxidomus,367777,genus,Mollusca,Bivalvia,Autobranchia,Venerida,Veneridae,Saxidomus,1960,NA,NA,NA,NA,53.9799995422,-131.580001831,10.9728,NA,Saxidomus,0
Simomactra planulata,505762,species,Mollusca,Bivalvia,Autobranchia,Venerida,Mactridae,Simomactra,2003,NA,NA,NA,NA,34.0709991455,-120.32900238,51,NA,Simomactra planulata,0
Ameritella modesta,878514,species,Mollusca,Bivalvia,Autobranchia,Cardiida,Tellinidae,Ameritella,2003,NA,NA,NA,NA,43.1629981995,-124.538002014,76,NA,Tellina modesta,0
Resania,492535,genus,Mollusca,Bivalvia,Autobranchia,Venerida,Mactridae,Resania,NA,US,NA,NA,Cathedral Wall,34.015751,-119.371498,2.7,NA,Laminaria,0
Glycinde armigera,240633,species,Annelida,Polychaeta,Errantia,Phyllodocida,Goniadidae,Glycinde,1982,NA,Alaska,NA,"Alaska Peninsula, Bristol Bay, Off Cape Seniavin",56.5849990845,-160.366668701,60,NA,Glycinde armigera,0
Myrianida,129659,genus,Annelida,Polychaeta,Errantia,Phyllodocida,Syllidae,Myrianida,2003,NA,NA,NA,NA,32.6599998474,-117.123001099,8,NA,Autolytus sp,0
Phyllodoce mucosa,334512,species,Annelida,Polychaeta,Errantia,Phyllodocida,Phyllodocidae,Phyllodoce,2000,NA,NA,NA,NA,47.8600006104,-122.410003662,45.5,NA,Phyllodoce mucosa,0
Macoma nasuta,582761,species,Mollusca,Bivalvia,Autobranchia,Cardiida,Tellinidae,Macoma,2002,NA,NA,NA,NA,46.4920005798,-123.991996765,NA,NA,Macoma nasuta,0
Mediomastus californiensis,157483,species,Annelida,Polychaeta,Sedentaria,NA,Capitellidae,Mediomastus,1980,NA,NA,NA,NA,9.86583042145,-84.8472213745,13,NA,Mediomastus californiensis,0
Chone,129525,genus,Annelida,Polychaeta,Sedentaria,Sabellida,Sabellidae,Chone,2003,NA,NA,NA,NA,33.952999115,-119.68699646,64,NA,Chone sp b,0
Nutricola tantilla,507789,species,Mollusca,Bivalvia,Autobranchia,Venerida,Veneridae,Nutricola,NA,NA,NA,NA,Puget Sound,47.549,-122.6654,8.6,Originally identified as 'Nutricola tantilla',Nutricola tantilla,0
Chone minuta,326735,species,Annelida,Polychaeta,Sedentaria,Sabellida,Sabellidae,Chone,2003,NA,NA,NA,NA,33.672000885,-118.26499939,34,NA,Chone minuta,0
Sthenelanella uniformis,332194,species,Annelida,Polychaeta,Errantia,Phyllodocida,Sigalionidae,Sthenelanella,2003,NA,NA,NA,NA,34.3950004578,-119.662002563,25,NA,Sthenelanella uniformis,0
Simomactra falcata,505765,species,Mollusca,Bivalvia,Autobranchia,Venerida,Mactridae,Simomactra,1878,NA,NA,NA,Between Virago and North Island: unknown,54.1500015259,-132.820007324,NA,NA,Simomactra falcata,0
Notomastus hemipodus,157504,species,Annelida,Polychaeta,Sedentaria,NA,Capitellidae,Notomastus,1999,NA,NA,NA,NA,45.5,-123.930000305,0.7,NA,Notomastus hemipodus,0
Decamastus gracilis,326885,species,Annelida,Polychaeta,Sedentaria,NA,Capitellidae,Decamastus,2003,NA,NA,NA,NA,45.6209983826,-124.011001587,52,NA,Decamastus gracilis,0
Macoma nasuta,582761,species,Mollusca,Bivalvia,Autobranchia,Cardiida,Tellinidae,Macoma,2003,NA,NA,NA,NA,33.7649993896,-118.111999512,4,NA,Macoma nasuta,0
Goniada brunnea,240564,species,Annelida,Polychaeta,Errantia,Phyllodocida,Goniadidae,Goniada,2003,NA,NA,NA,NA,38.2960014343,-123.121002197,75,NA,Goniada brunnea,0
Phyllodoce groenlandica,334506,species,Annelida,Polychaeta,Errantia,Phyllodocida,Phyllodocidae,Phyllodoce,NA,NA,NA,NA,Puget Sound,47.71381,-122.5273,27.9,Originally identified as 'Phyllodoce groenlandica',Phyllodoce groenlandica,0
Lepidasthenia berkeleyae,328739,species,Annelida,Polychaeta,Errantia,Phyllodocida,Polynoidae,Lepidasthenia,2003,NA,NA,NA,NA,38.4650001526,-123.347999573,103,NA,Lepidasthenia berkeleyae,0
Alitta succinea,234850,species,Annelida,Polychaeta,Errantia,Phyllodocida,Nereididae,Alitta,2000,NA,NA,NA,NA,38.1300010681,-122.379997253,7,NA,Neanthes succinea,0
Proceraea cornuta,131362,species,Annelida,Polychaeta,Errantia,Phyllodocida,Syllidae,Proceraea,1999,NA,NA,NA,NA,48.1500015259,-123.599998474,21.6,NA,Proceraea cornuta,0
Tellina,138533,genus,Mollusca,Bivalvia,Autobranchia,Cardiida,Tellinidae,Tellina,NA,NA,NA,NA,Monterey Bay NMS,37.7112,-123.1265,110,Originally identified as 'Tellina (LPIL)',Tellina,0
Ameritella carpenteri,878479,species,Mollusca,Bivalvia,Autobranchia,Cardiida,Tellinidae,Ameritella,2003,NA,NA,NA,NA,34.3870010376,-119.987998962,144,NA,Tellina carpenteri,0
Sige,129460,genus,Annelida,Polychaeta,Errantia,Phyllodocida,Phyllodocidae,Sige,2003,NA,NA,NA,NA,34.0340003967,-119.351997375,84,NA,Sige sp a,0
Resania,492535,genus,Mollusca,Bivalvia,Autobranchia,Venerida,Mactridae,Resania,NA,US,NA,NA,Spooners Cove,35.277134000000004,-120.892899,10.2,NA,Laminaria,0
Nutricola,492501,genus,Mollusca,Bivalvia,Autobranchia,Venerida,Veneridae,Nutricola,1987,NA,NA,NA,Off California,40.9458312988,-124.307502747,93,NA,Psephidia sp.,0
Harmothoe imbricata,130769,species,Annelida,Polychaeta,Errantia,Phyllodocida,Polynoidae,Harmothoe,NA,NA,NA,NA,Puget Sound,47.1481,-122.7742,70,Originally identified as 'Harmothoe imbricata',Harmothoe imbricata,0
Scoloplos,129425,genus,Annelida,Polychaeta,Sedentaria,NA,Orbiniidae,Scoloplos,2002,NA,NA,NA,NA,46.9739990234,-124.01499939,NA,NA,Scoloplos sp,0
Scoloplos armiger,130537,species,Annelida,Polychaeta,Sedentaria,NA,Orbiniidae,Scoloplos,2002,NA,NA,NA,NA,58.3470001221,-152.886001587,71.7,NA,Scoloplos armiger,0
Saxidomus,367777,genus,Mollusca,Bivalvia,Autobranchia,Venerida,Veneridae,Saxidomus,1960,NA,NA,NA,NA,54.1300010681,-131.5,21.9456,NA,Saxidomus,0
Resania,492535,genus,Mollusca,Bivalvia,Autobranchia,Venerida,Mactridae,Resania,NA,US,NA,NA,La Jolla Cove,32.852165,-117.26986699999999,9.3,NA,Laminaria,0
Leitoscoloplos pugettensis,254746,species,Annelida,Polychaeta,Sedentaria,NA,Orbiniidae,Leitoscoloplos,NA,NA,NA,NA,Puget Sound,47.2126,-123.0841,4.7,Originally identified as 'Leitoscoloplos pugettensis',Leitoscoloplos pugettensis,0
Exogone (Exogone) lourei,238226,species,Annelida,Polychaeta,Errantia,Phyllodocida,Syllidae,Exogone,1999,NA,NA,NA,NA,40.7000007629,-124.25,2.4,NA,Exogone lourei,0
Nereis vexillosa,329765,species,Annelida,Polychaeta,Errantia,Phyllodocida,Nereididae,Nereis,1993,NA,NA,NA,NA,52.3608207703,-131.350616455,0,NA,Nereis vexillosa,0
Resania,492535,genus,Mollusca,Bivalvia,Autobranchia,Venerida,Mactridae,Resania,NA,US,NA,NA,Andrew Molera,36.278453999999996,-121.88085900000002,10.7,NA,Laminaria,0
Sthenelanella uniformis,332194,species,Annelida,Polychaeta,Errantia,Phyllodocida,Sigalionidae,Sthenelanella,2003,NA,NA,NA,NA,34.1829986572,-119.353996277,28,NA,Sthenelanella uniformis,0
Eulalia,129445,genus,Annelida,Polychaeta,Errantia,Phyllodocida,Phyllodocidae,Eulalia,2003,NA,NA,NA,NA,46.5489997864,-124.26499939,57,NA,Eulalia sp n1,0
Capitella,129211,genus,Annelida,Polychaeta,Sedentaria,NA,Capitellidae,Capitella,2000,NA,NA,NA,NA,38.0200004578,-122.489997864,1.3,NA,Capitella capitata cmplx,0
Glycera nana,328132,species,Annelida,Polychaeta,Errantia,Phyllodocida,Glyceridae,Glycera,2003,NA,NA,NA,NA,34.0750007629,-119.749000549,92,NA,Glycera nana,0
Resania,492535,genus,Mollusca,Bivalvia,Autobranchia,Venerida,Mactridae,Resania,NA,US,NA,NA,Pescadero,36.562302,-121.959602,12.8,NA,Laminaria,0
Macoma,138531,genus,Mollusca,Bivalvia,Autobranchia,Cardiida,Tellinidae,Macoma,2000,NA,NA,NA,NA,48.4199981689,-123.279998779,11.5,NA,Macoma sp.,0
Compsomyax subdiaphana,507527,species,Mollusca,Bivalvia,Autobranchia,Venerida,Veneridae,Compsomyax,1999,NA,NA,NA,NA,38.0099983215,-122.86000061,30,NA,Compsomyax subdiaphana,0
Exogone,129654,genus,Annelida,Polychaeta,Errantia,Phyllodocida,Syllidae,Exogone,2003,NA,NA,NA,NA,32.7859992981,-117.250999451,3,NA,Exogone sp a,0
Pholoides asperus,334498,species,Annelida,Polychaeta,Errantia,Phyllodocida,Sigalionidae,Pholoides,1999,NA,NA,NA,NA,47.25,-122.589996338,50.5,NA,Pholoides asperus,0
Pholoe glabra,330542,species,Annelida,Polychaeta,Errantia,Phyllodocida,Sigalionidae,Pholoe,1999,NA,NA,NA,NA,38.0099983215,-122.871002197,22,NA,Pholoe glabra,0
Eteone spilotus,327538,species,Annelida,Polychaeta,Errantia,Phyllodocida,Phyllodocidae,Eteone,2003,NA,NA,NA,NA,40.7280006409,-124.440002441,80,NA,Eteone spilotus,0
Decamastus gracilis,326885,species,Annelida,Polychaeta,Sedentaria,NA,Capitellidae,Decamastus,2003,NA,NA,NA,NA,34.2210006714,-119.641998291,162,NA,Decamastus gracilis,0
Kellia suborbicularis,140161,species,Mollusca,Bivalvia,Autobranchia,Galeommatida,Lasaeidae,Kellia,NA,NA,NA,NA,Puget Sound,48.516,-122.570277,29,Originally identified as 'Kellia suborbicularis',Kellia suborbicularis,0
Glycera nana,328132,species,Annelida,Polychaeta,Errantia,Phyllodocida,Glyceridae,Glycera,2003,NA,NA,NA,NA,34.0670013428,-119.134002686,192,NA,Glycera nana,0
Leitoscoloplos pugettensis,254746,species,Annelida,Polychaeta,Sedentaria,NA,Orbiniidae,Leitoscoloplos,NA,NA,NA,NA,Puget Sound,47.3038,-122.8499,30.9,Originally identified as 'Leitoscoloplos pugettensis',Leitoscoloplos pugettensis,0
Resania,492535,genus,Mollusca,Bivalvia,Autobranchia,Venerida,Mactridae,Resania,NA,US,NA,NA,Mendocino Headlands,39.305283,-123.811218,11.1,NA,Laminaria,0
Phyllodoce cuspidata,334505,species,Annelida,Polychaeta,Errantia,Phyllodocida,Phyllodocidae,Phyllodoce,2003,NA,NA,NA,NA,46.4169998169,-124.40699768099999,99,NA,Phyllodoce cuspidata,0
Kurtiella tumida,606421,species,Mollusca,Bivalvia,Autobranchia,Galeommatida,Lasaeidae,Kurtiella,2003,NA,NA,NA,NA,34.0800018311,-119.65599823,86,NA,Rochefortia tumida,0
Mediomastus,129218,genus,Annelida,Polychaeta,Sedentaria,NA,Capitellidae,Mediomastus,2000,NA,NA,NA,NA,37.9300003052,-122.410003662,8,NA,Mediomastus sp,0
Resania,492535,genus,Mollusca,Bivalvia,Autobranchia,Venerida,Mactridae,Resania,NA,US,NA,NA,North Monastery,36.526806,-121.92654399999999,4.7,NA,Laminaria,0
Mediomastus,129218,genus,Annelida,Polychaeta,Sedentaria,NA,Capitellidae,Mediomastus,2003,NA,NA,NA,NA,37.3149986267,-122.627998352,90,NA,Mediomastus sp,0
Decamastus gracilis,326885,species,Annelida,Polychaeta,Sedentaria,NA,Capitellidae,Decamastus,2003,NA,NA,NA,NA,32.6599998474,-117.414001465,394,NA,Decamastus gracilis,0
Haplosyllis ohma,760707,species,Annelida,Polychaeta,Errantia,Phyllodocida,Syllidae,Haplosyllis,2000,NA,NA,NA,NA,48.4799995422,-122.989997864,41,NA,Geminosyllis ohma,0
Phyllodoce groenlandica,334506,species,Annelida,Polychaeta,Errantia,Phyllodocida,Phyllodocidae,Phyllodoce,1999,NA,NA,NA,NA,38.0099983215,-122.861999512,30,NA,Phyllodoce groenlandica,0
Kurtiella tumida,606421,species,Mollusca,Bivalvia,Autobranchia,Galeommatida,Lasaeidae,Kurtiella,NA,NA,NA,NA,Monterey Bay NMS,37.71223,-123.1377,121,Originally identified as 'Rochefortia tumida',Kurtiella tumida,0
Pholoe glabra,330542,species,Annelida,Polychaeta,Errantia,Phyllodocida,Sigalionidae,Pholoe,NA,NA,NA,NA,San Francisco Bay,37.8,-122.3963,3.4,Originally identified as 'Pholoe glabra',Pholoe glabra,0
Pseudopotamilla,129548,genus,Annelida,Polychaeta,Sedentaria,Sabellida,Sabellidae,Pseudopotamilla,2000,NA,NA,NA,NA,48.6100006104,-123,15.5,NA,Pseudopotamilla sp.,0
Phyllodoce groenlandica,334506,species,Annelida,Polychaeta,Errantia,Phyllodocida,Phyllodocidae,Phyllodoce,1960,NA,Alaska,NA,NA,63.8733291626,-165.255004883,NA,NA,Phyllodoce groenlandica,0
Tenonia priops,334901,species,Annelida,Polychaeta,Errantia,Phyllodocida,Polynoidae,Tenonia,NA,NA,NA,NA,Monterey Bay NMS,37.91557,-123.4218,136,Originally identified as 'Tenonia priops',Tenonia priops,0
Turtonia minuta,141875,species,Mollusca,Bivalvia,Autobranchia,Venerida,Veneridae,Turtonia,NA,NA,Alaska,Prince William Sound,Montague Island,60.381167,-147.113,NA,NA,Turtonia minuta,0
Decamastus gracilis,326885,species,Annelida,Polychaeta,Sedentaria,NA,Capitellidae,Decamastus,1999,NA,NA,NA,NA,47.8300018311,-122.569999695,13,NA,Decamastus gracilis,0
Heteromastus filobranchus,328370,species,Annelida,Polychaeta,Sedentaria,NA,Capitellidae,Heteromastus,2003,NA,NA,NA,NA,34.34400177,-120.369003296,300,NA,Heteromastus filobranchus,0
Macoploma yoldiformis,879988,species,Mollusca,Bivalvia,Autobranchia,Cardiida,Tellinidae,Macoploma,1910,NA,NA,NA,Skidegate,53.1623497009,-132.061035156,NA,NA,Macoma yoldiformis,0
Glycinde armigera,240633,species,Annelida,Polychaeta,Errantia,Phyllodocida,Goniadidae,Glycinde,2003,NA,NA,NA,NA,32.6590003967,-117.335998535,125,NA,Glycinde armigera,0
Resania,492535,genus,Mollusca,Bivalvia,Autobranchia,Venerida,Mactridae,Resania,NA,US,NA,NA,Goldfish Bowl,34.014728999999996,-119.4375,8.8,NA,Laminaria,0
Notomastus latericeus,129898,species,Annelida,Polychaeta,Sedentaria,NA,Capitellidae,Notomastus,2003,NA,NA,NA,NA,47.5670013428,-124.597999573,45,NA,Notomastus latericeus,0
Eteone,129443,genus,Annelida,Polychaeta,Errantia,Phyllodocida,Phyllodocidae,Eteone,NA,NA,NA,NA,Puget Sound,47.3577,-122.4778,16,Originally identified as 'Eteone (LPIL)',Eteone,0
Chone duneri,130888,species,Annelida,Polychaeta,Sedentaria,Sabellida,Sabellidae,Chone,NA,NA,NA,NA,Puget Sound,47.9218,-122.6768,17,Originally identified as 'Chone duneri',Chone duneri,0
Eteone,129443,genus,Annelida,Polychaeta,Errantia,Phyllodocida,Phyllodocidae,Eteone,2002,NA,NA,NA,NA,60.7919998169,-148.057998657,5.4,NA,Eteone sp,0
Resania,492535,genus,Mollusca,Bivalvia,Autobranchia,Venerida,Mactridae,Resania,NA,US,NA,NA,Mendocino Headlands,39.305283,-123.811218,5,NA,Laminaria,0
Macoploma yoldiformis,879988,species,Mollusca,Bivalvia,Autobranchia,Cardiida,Tellinidae,Macoploma,2003,NA,NA,NA,NA,33.7900009155,-118.456001282,66,NA,Macoma yoldiformis,0
Glycinde armigera,240633,species,Annelida,Polychaeta,Errantia,Phyllodocida,Goniadidae,Glycinde,NA,NA,NA,NA,Puget Sound,48.532,-122.548888,1,Originally identified as 'Glycinde armigera',Glycinde armigera,0
Megapitaria aurantiaca,714775,species,Mollusca,Bivalvia,Autobranchia,Venerida,Veneridae,Megapitaria,1986,NA,CAUCA,NA,G. El Poblado.,2.96527767181,-78.1705551147,NA,NA,Megapitaria aurantiaca,0
Eteone columbiensis,327525,species,Annelida,Polychaeta,Errantia,Phyllodocida,Phyllodocidae,Eteone,1999,NA,NA,NA,NA,45.4900016785,-123.88999939,1.3,NA,Eteone columbiensis,0
Nereis procera,329725,species,Annelida,Polychaeta,Errantia,Phyllodocida,Nereididae,Nereis,2003,NA,NA,NA,NA,34.0340003967,-119.351997375,84,NA,Nereis procera,0
Glycinde armigera,240633,species,Annelida,Polychaeta,Errantia,Phyllodocida,Goniadidae,Glycinde,NA,NA,NA,NA,San Francisco Bay,37.61958,-122.332,5.2,Originally identified as 'Glycinde armigera',Glycinde armigera,0
Tellina,138533,genus,Mollusca,Bivalvia,Autobranchia,Cardiida,Tellinidae,Tellina,2003,NA,NA,NA,NA,33.6370010376,-118.248001099,51,NA,Tellina sp b,0
Resania,492535,genus,Mollusca,Bivalvia,Autobranchia,Venerida,Mactridae,Resania,NA,US,NA,NA,Weston,36.5112,-121.946297,11.7,NA,Laminaria,0
Exogone (Exogone) lourei,238226,species,Annelida,Polychaeta,Errantia,Phyllodocida,Syllidae,Exogone,NA,NA,NA,NA,Monterey Bay NMS,37.91152,-123.4249,137,Originally identified as 'Exogone lourei',Exogone (Exogone) lourei,0
Goniada littorea,157399,species,Annelida,Polychaeta,Errantia,Phyllodocida,Goniadidae,Goniada,1999,NA,NA,NA,NA,33.84400177,-118.394996643,6,NA,Goniada littorea,0
Notomastus (Clistomastus) luridus,334236,species,Annelida,Polychaeta,Sedentaria,NA,Capitellidae,Notomastus,1980,NA,NA,NA,NA,9.92444038391,-84.868057251,20,NA,Notomastus luridus,0
Mediomastus,129218,genus,Annelida,Polychaeta,Sedentaria,NA,Capitellidae,Mediomastus,1999,NA,NA,NA,NA,35.3400001526,-120.849998474,6.3,NA,Mediomastus sp,0
Macoma carlottensis,420876,species,Mollusca,Bivalvia,Autobranchia,Cardiida,Tellinidae,Macoma,1895,NA,NA,NA,North side of the entrance to Cumshewa Inlet,53.0287704468,-131.629806519,27.450000000000003,NA,Macoma carlottensis,0
Chone,129525,genus,Annelida,Polychaeta,Sedentaria,Sabellida,Sabellidae,Chone,NA,NA,Alaska,Kodiak Island,Akhiok Bay,56.946533,-154.12925,NA,NA,Chone,0
Anotomastus gordiodes,332979,species,Annelida,Polychaeta,Sedentaria,NA,Capitellidae,Anotomastus,2003,NA,NA,NA,NA,34.4039993286,-119.81199646,17,NA,Anotomastus gordiodes,0
Chione californiensis,507499,species,Mollusca,Bivalvia,Autobranchia,Venerida,Veneridae,Chione,2003,NA,NA,NA,NA,33.7120018005,-118.184997559,24,NA,Chione californiensis,0
Mediomastus,129218,genus,Annelida,Polychaeta,Sedentaria,NA,Capitellidae,Mediomastus,NA,NA,NA,NA,Puget Sound,47.2879,-122.4306,89,Originally identified as 'Mediomastus (LPIL)',Mediomastus,0
Resania,492535,genus,Mollusca,Bivalvia,Autobranchia,Venerida,Mactridae,Resania,NA,US,NA,NA,Harmony,35.500275,-121.05493200000001,13.4,NA,Laminaria,0
Syllis,129680,genus,Annelida,Polychaeta,Errantia,Phyllodocida,Syllidae,Syllis,2003,NA,NA,NA,NA,34.0340003967,-119.351997375,84,NA,Syllis (typosyllis) sp sd5,0
Coanyax pacificus,849392,species,Mollusca,Bivalvia,Autobranchia,Cardiida,Tellinidae,Coanyax,NA,NA,Colima,"NA","Bahia Santiago, Manzanillo, Off Puenta Julicapari",19.1,-104.383333,NA,NA,Tellina pacifica,0
Gattyana cirrhosa,130749,species,Annelida,Polychaeta,Errantia,Phyllodocida,Polynoidae,Gattyana,2002,NA,NA,NA,NA,47.6710014343,-122.565002441,NA,NA,Gattyana cirrosa,0
Tellina,138533,genus,Mollusca,Bivalvia,Autobranchia,Cardiida,Tellinidae,Tellina,NA,NA,NA,NA,Monterey Bay NMS,37.70818,-123.1269,115,Originally identified as 'Tellina (LPIL)',Tellina,0
Resania,492535,genus,Mollusca,Bivalvia,Autobranchia,Venerida,Mactridae,Resania,NA,US,NA,NA,Spooners Cove,35.277134000000004,-120.892899,17.8,NA,Laminaria,0
Notomastus hemipodus,157504,species,Annelida,Polychaeta,Sedentaria,NA,Capitellidae,Notomastus,2003,NA,NA,NA,NA,43.8880004883,-124.283996582,99,NA,Notomastus hemipodus,0
Malmgreniella macginitiei,329206,species,Annelida,Polychaeta,Errantia,Phyllodocida,Polynoidae,Malmgreniella,2003,NA,NA,NA,NA,37.5989990234,-122.822998047,68,NA,Malmgreniella macginitiei,0
Resania,492535,genus,Mollusca,Bivalvia,Autobranchia,Venerida,Mactridae,Resania,NA,US,NA,NA,Broomtail Reef,32.694233000000004,-117.26806599999999,11,NA,Laminaria,0
Mediomastus californiensis,157483,species,Annelida,Polychaeta,Sedentaria,NA,Capitellidae,Mediomastus,2003,NA,NA,NA,NA,46.1920013428,-124.387001038,117,NA,Mediomastus californiensis,0
Odontosyllis phosphorea,330087,species,Annelida,Polychaeta,Errantia,Phyllodocida,Syllidae,Odontosyllis,1904,NA,NA,NA,Santa Catalina Island,33.346,-118.325,NA,NA,Odontosyllis phosphorea,0
Phyllodoce longipes,130673,species,Annelida,Polychaeta,Errantia,Phyllodocida,Phyllodocidae,Phyllodoce,2003,NA,NA,NA,NA,37.2480010986,-122.492996216,65,NA,Phyllodoce longipes,0
Eulalia californiensis,1251228,species,Annelida,Polychaeta,Errantia,Phyllodocida,Phyllodocidae,Eulalia,1935,NA,NA,NA,Tomales Bay,38.21,-122.95,NA,NA,Steggoa californiensis,0
Ameritella modesta,878514,species,Mollusca,Bivalvia,Autobranchia,Cardiida,Tellinidae,Ameritella,2002,NA,NA,NA,NA,47.6969985962,-122.565002441,NA,NA,Tellina modesta,0
Resania,492535,genus,Mollusca,Bivalvia,Autobranchia,Venerida,Mactridae,Resania,NA,US,NA,NA,Windansea,32.836601,-117.288002,11,NA,Laminaria,0
